Cluster Name,RA,DEC,l,b,Rsun,ERsun,R_GC,RV,ERV,mualpha,mu_delta,rhopmrade,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,RAPO
NGC_6362,262.979096,-67.048332,325.555,-17.57,7.65,0.07,5.20,-14.58,0.18,-5.502,0.006,-4.761  0.006   0.07,2.16,0.05,-4.12,0.04,-2.31,0.02,117.09,0.19,40.56,0.2,99.81,0.2,2.64  0.03,5.24   0.02
Liller_1,263.352333,-33.389556,354.84,-0.161,8.06,0.34,0.74,60.36,2.44,-5.183,0.176,-6.979  0.143   0.35,0.15,0.34,-0.72,0.03,-0.02,0.0,-41.46,2.48,-83.37,5.81,28.07,6.39,0.09  0.04,0.85   0.09
NGC_6380,263.618611,-39.06953,350.182,-3.422,9.61,0.30,2.15,-1.48,0.73,-2.186,0.017,-3.256  0.016  -0.02,-1.27,0.3,-1.64,0.05,-0.57,0.02,20.58,0.74,76.51,0.73,11.08,0.75,0.28  0.05,2.11   0.24
Ter_1,263.946667,-30.481778,357.558,0.991,5.67,0.17,2.52,57.55,1.61,-2.886,0.046,-4.870  0.044   0.08,2.51,0.17,-0.24,0.01,0.1,0.0,-62.2,1.61,97.77,1.21,2.95,1.22,0.57  0.09,2.68   0.17
Ton_2,264.042,-38.5561,350.793,-3.424,6.99,0.34,1.76,-184.72,1.12,-5.936,0.020,-0.795  0.019   0.24,1.29,0.33,-1.12,0.05,-0.42,0.02,182.4,1.11,154.24,0.65,169.82,0.65,1.80  0.14,3.00   0.29
NGC_6388,264.071777,-44.7355,345.556,-6.738,11.17,0.16,3.99,83.11,0.45,-1.317,0.007,-2.715  0.007   0.01,-2.57,0.16,-2.77,0.04,-1.31,0.02,-49.47,0.44,78.28,0.38,-19.32,0.38,1.15  0.02,4.05   0.12
NGC_6402,264.400651,-3.245916,21.324,14.804,9.14,0.25,3.97,-60.71,0.45,-3.599,0.006,-5.055  0.006   0.12,-0.06,0.23,3.21,0.09,2.34,0.06,-46.65,0.42,-20.92,0.3,20.2,0.29,0.56  0.08,4.28   0.13
NGC_6401,264.652191,-23.909605,3.45,3.98,7.44,0.22,1.03,-105.44,2.5,-2.762,0.010,1.464  0.008   0.29,0.77,0.22,0.45,0.01,0.52,0.02,101.04,2.48,237.5,0.34,109.65,0.38,0.47  0.14,2.12   0.34
NGC_6397,265.175385,-53.674335,338.165,-11.96,2.48,0.02,6.01,18.51,0.08,3.251,0.005,-17.649  0.005  -0.25,5.92,0.02,-0.9,0.01,-0.51,0.0,58.24,0.08,106.68,0.06,-130.34,0.06,2.60  0.01,6.30   0.01
Pal_6,265.925812,-26.224995,2.09,1.779,7.05,0.45,1.19,177.00,1.35,-9.190,0.021,-5.283  0.018   0.27,1.14,0.45,0.26,0.02,0.22,0.01,-194.0,1.34,-52.44,0.62,181.72,0.66,0.29  0.09,2.08   0.70
